STUDY_ID	SAMPLE_ID	TIA1	TIAL1	TPX2	BRCA1	BRCA2	TP53	AURKA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2FO-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2FM-01	NA	NA	NA	NA	-0.231218103	-1.78002649	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2FK-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2FG-01	NA	NA	NA	NA	-0.377295886	-1.8019545	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2FF-01	NA	NA	NA	NA	-0.384142722	-1.497842135	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2FE-01	NA	NA	NA	NA	-0.567572392	-2.094904071	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2FB-01	NA	NA	NA	NA	-0.458506173	-1.072377869	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2BM-01	NA	NA	NA	NA	-0.433216827	-2.094140219	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2BK-01	NA	NA	NA	NA	0.179293059	0.393916281	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2B8-01	NA	NA	NA	NA	-0.275245822	-2.157346594	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A23H-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A23G-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A23E-01	NA	NA	NA	NA	-0.679235503	-1.413261238	NA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A23C-01	NA	NA	NA	NA	-0.548105173	-2.672013574	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A0AD-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A0AB-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A0A9-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A0A7-01	NA	NA	NA	NA	-0.454457328	-1.399663485	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A0A6-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A0A4-01	NA	NA	NA	NA	-0.753771196	-1.546038429	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A0A2-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A0A1-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A09Z-01	NA	NA	NA	NA	-0.380284916	-1.421156926	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A09X-01	NA	NA	NA	NA	-0.454457328	-1.283598208	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A09W-01	NA	NA	NA	NA	-0.790496633	-2.057616964	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A09V-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A09T-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A09R-01	NA	NA	NA	NA	-0.618556643	-1.63243472	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A09Q-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A09N-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A09M-01	NA	NA	NA	NA	-0.452436537	-1.493243419	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A09I-01	NA	NA	NA	NA	-0.52690667	-1.542197651	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A09G-01	NA	NA	NA	NA	-0.335186321	-1.229546133	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A09D-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A09C-01	NA	NA	NA	NA	-0.460469119	-1.667260249	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A09B-01	NA	NA	NA	NA	-0.333346809	-1.862316836	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A09A-01	NA	NA	NA	NA	-0.34027124	-1.835345933	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A099-01	NA	NA	NA	NA	-0.331534827	-1.910225618	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A097-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A096-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A095-01	NA	NA	NA	NA	-0.028118845	-1.35511431	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A094-01	NA	NA	NA	NA	-0.539938445	-1.656625765	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A093-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A092-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A091-01	NA	NA	NA	NA	-0.195216525	-1.75238233	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A090-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A08Z-01	NA	NA	NA	NA	-0.334828305	-2.027818706	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A08X-01	NA	NA	NA	NA	-0.368959095	-0.766602248	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A08T-01	NA	NA	NA	NA	-0.539652062	-1.753105086	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A08R-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A08P-01	NA	NA	NA	NA	-0.305370584	-1.494050948	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A08O-01	NA	NA	NA	NA	-0.281406053	-1.540462224	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A08L-01	NA	NA	NA	NA	-0.609275984	-1.650940549	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A08J-01	NA	NA	NA	NA	-0.467138275	-1.50198465	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A08I-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A08H-01	NA	NA	NA	NA	-0.421053643	-2.077134164	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A08G-01	NA	NA	NA	NA	-0.280086548	-1.813705692	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A08C-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A08B-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A08A-01	NA	NA	NA	NA	-0.579488034	-1.533881442	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A086-01	NA	NA	NA	NA	-0.334840743	-1.950941811	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A085-01	NA	NA	NA	NA	-0.441858103	-1.811500559	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A083-01	NA	NA	NA	NA	-0.70501697	-1.690552535	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A082-01	NA	NA	NA	NA	-0.263778789	-1.861645638	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A081-01	NA	NA	NA	NA	-0.243648891	-1.365855628	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A07Z-01	NA	NA	NA	NA	-0.644551991	-1.647150479	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A07W-01	NA	NA	NA	NA	-0.549678646	-1.383497194	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A07U-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A07S-01	NA	NA	NA	NA	-0.65211731	-1.712543836	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A07R-01	NA	NA	NA	NA	-0.291182146	-0.590714116	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A07P-01	NA	NA	NA	NA	0.017426498	-1.872413693	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A07O-01	NA	NA	NA	NA	-0.153406362	-1.567684519	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A07L-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A07J-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A07I-01	NA	NA	NA	NA	-0.639097832	-1.72090392	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A07G-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A07F-01	NA	NA	NA	NA	-0.201087151	-1.807507082	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A07E-01	NA	NA	NA	NA	-0.35113274	-1.453400353	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A07C-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A07B-01	NA	NA	NA	NA	NA	NA	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A079-01	NA	NA	NA	NA	-0.255073927	-1.204516592	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A076-01	NA	NA	NA	NA	-0.34059947	-1.466223939	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A075-01	NA	NA	NA	NA	-0.512461292	-1.541487665	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A06Z-01	NA	NA	NA	NA	-0.223047929	-1.769278799	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A06Y-01	NA	NA	NA	NA	-0.558619283	-1.478305698	NA
brca_tcga_pan_can_atlas_2018	TCGA-A8-A06X-01	NA	NA	NA	NA	-0.404258143	-1.410879218	NA
