STUDY_ID	SAMPLE_ID	TIA1	TIAL1	TPX2	BRCA1	BRCA2	TP53	AURKA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A3QP-01	-0.5716	-0.2689	-1.9825	-0.9066	-1.9193	0.2916	-1.4673
brca_tcga_pan_can_atlas_2018	TCGA-AC-A3OD-01	0.8284	0.6879	-0.5398	0.1211	-0.0455	-1.4975	-0.5843
brca_tcga_pan_can_atlas_2018	TCGA-AC-A3HN-01	-0.3069	-0.1675	-0.8196	0.0123	0.3312	0.036	-0.7745
brca_tcga_pan_can_atlas_2018	TCGA-AC-A3EH-01	-2.2295	-1.0172	-0.451	-0.3911	-0.2172	0.076	-0.8184
brca_tcga_pan_can_atlas_2018	TCGA-AC-A3BB-01	-0.0008	-0.6034	-1.4825	-0.9679	-1.6851	0.3534	-1.5192
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2QJ-01	-2.096	-2.1984	-0.1346	-1.0577	-3.9342	-2.1131	-0.2368
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2QI-01	-0.047	-1.0369	-2.0013	-0.6344	-1.2266	-0.4227	-1.5967
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2QH-01	0.5755	-0.0051	0.632	-0.5293	0.4761	2.084	0.4267
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2FO-01	0.1265	0.661	-1.267	-0.6971	-0.6106	-0.1969	-0.1159
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2FM-01	-1.0656	-0.4433	-0.0706	0.7172	-0.4422	0.6276	-0.0003
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2FK-01	0.8549	0.0477	-2.9443	-1.1185	-0.7023	0.3641	-2.3635
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2FG-01	0.1057	0.097	-1.8984	-0.5513	-0.3441	0.4677	-1.6503
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2FF-01	-0.2128	0.3786	-0.6941	0.2765	0.5825	1.0006	-0.6448
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2FE-01	-0.0916	-0.6038	-0.8416	-0.343	-0.1833	0.7117	-0.7172
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2FB-01	-0.7505	-0.1413	-0.7511	1.0026	0.3591	-0.2214	-0.9506
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2BM-01	0.6831	1.0411	0.3975	0.9731	0.7019	-0.9055	-0.0854
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2BK-01	1.8281	1.1556	0.981	0.5485	0.3171	1.1737	0.7352
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2B8-01	0.3007	0.143	-1.0441	-0.8162	-0.0102	0.3441	-1.2408
brca_tcga_pan_can_atlas_2018	TCGA-AC-A23H-01	-0.209	-1.23	0.9486	0.1101	0.9833	0.8089	0.8757
brca_tcga_pan_can_atlas_2018	TCGA-AC-A23G-01	-1.5893	-1.5745	-0.7761	-0.6613	-0.9849	0.621	-0.9319
brca_tcga_pan_can_atlas_2018	TCGA-AC-A23E-01	-1.2171	0.7708	-0.8377	-0.0044	0.0154	0.1068	-1.4013
brca_tcga_pan_can_atlas_2018	TCGA-AC-A23C-01	1.4155	-0.5966	-0.1003	-0.0906	1.1305	-2.0678	-1.0047
brca_tcga_pan_can_atlas_2018	TCGA-A8-A0AD-01	-0.114	-1.3396	-0.5384	0.3694	-0.2768	-0.8053	-0.5003
brca_tcga_pan_can_atlas_2018	TCGA-A8-A0AB-01	0.4329	0.0635	-0.1132	1.542	0.2624	0.7158	-0.7179
brca_tcga_pan_can_atlas_2018	TCGA-A8-A0A9-01	-0.3103	0.3714	0.2501	0.4691	0.077	0.6419	0.1877
brca_tcga_pan_can_atlas_2018	TCGA-A8-A0A7-01	-0.6713	-0.9574	0.4679	-0.6372	0.0748	-0.1391	0.5571
brca_tcga_pan_can_atlas_2018	TCGA-A8-A0A6-01	0.4816	0.3891	-1.2474	-0.4595	-0.3193	-0.5753	-0.9333
brca_tcga_pan_can_atlas_2018	TCGA-A8-A0A4-01	-0.9826	0.194	0.0478	0.7988	0.5309	-0.4389	-0.0294
brca_tcga_pan_can_atlas_2018	TCGA-A8-A0A2-01	0.6307	1.7659	-0.8144	-0.2173	-0.4407	-0.9115	-0.7702
brca_tcga_pan_can_atlas_2018	TCGA-A8-A0A1-01	-0.3909	-0.4623	-0.1704	0.7394	0.7327	0.0276	-0.3819
brca_tcga_pan_can_atlas_2018	TCGA-A8-A09Z-01	-3.7068	-1.7361	-0.5618	-0.6118	0.0281	0.604	-1.0067
brca_tcga_pan_can_atlas_2018	TCGA-A8-A09X-01	-1.5929	0.6423	0.7333	-0.0659	0.5432	0.5256	0.4496
brca_tcga_pan_can_atlas_2018	TCGA-A8-A09W-01	-3.1335	1.5817	0.9216	0.6685	-1.1618	1.4448	1.4604
brca_tcga_pan_can_atlas_2018	TCGA-A8-A09V-01	1.5937	1.3748	-0.4496	0.6835	-0.0388	0.3748	-0.6111
brca_tcga_pan_can_atlas_2018	TCGA-A8-A09T-01	-0.5621	-0.7404	-0.1655	0.4705	0.3738	0.4682	-0.1933
