STUDY_ID	SAMPLE_ID	TIA1	TIAL1	TPX2	BRCA1	BRCA2	TP53	AURKA
brca_tcga_pan_can_atlas_2018	TCGA-AC-A3OD-01	0.7762	0.9703	2.7519	1.869	1.2477	-2.1738	3.0537
brca_tcga_pan_can_atlas_2018	TCGA-AC-A3HN-01	-0.3664	-0.2647	2.3931	1.6331	1.7095	0.0944	2.7186
brca_tcga_pan_can_atlas_2018	TCGA-AC-A3EH-01	-2.3014	-1.4916	2.8657	0.7582	1.0371	0.1536	2.6412
brca_tcga_pan_can_atlas_2018	TCGA-AC-A3BB-01	-0.0584	-0.8942	1.5434	-0.4929	-0.7627	0.5637	1.4065
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2QJ-01	-2.1671	-3.197	3.2712	-0.6876	-3.5204	-3.0843	3.6659
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2QI-01	-0.1049	-1.52	0.8783	0.2304	-0.2006	-0.5841	1.27
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2QH-01	0.5217	-0.0304	4.2539	0.4584	1.8871	3.1234	4.8348
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2FO-01	0.0697	0.9314	1.8196	0.0945	0.5547	-0.2501	3.8789
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2FM-01	-1.13	-0.663	3.3532	3.1619	0.7612	0.9693	4.0825
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2FK-01	0.8028	0.0459	-0.3305	-0.8195	0.4423	0.5796	-0.081
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2FG-01	0.0488	0.1171	1.0103	0.4106	0.8815	0.7329	1.1756
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2FF-01	-0.2717	0.5238	2.5539	2.2061	2.0177	1.5211	2.947
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2FE-01	-0.1498	-0.8947	2.3649	0.8624	1.0787	1.0937	2.8195
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2FB-01	-0.8129	-0.2269	2.481	3.7809	1.7438	-0.2864	2.4083
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2BM-01	0.6299	1.4802	3.9533	3.7169	2.164	-1.2983	3.9325
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2BK-01	1.7824	1.6456	4.7013	2.796	1.6923	1.777	5.3783
brca_tcga_pan_can_atlas_2018	TCGA-AC-A2B8-01	0.2451	0.1836	2.1054	-0.1638	1.2909	0.55	1.897
brca_tcga_pan_can_atlas_2018	TCGA-AC-A23H-01	-0.2679	-1.7988	4.6597	1.8452	2.5091	1.2375	5.6258
brca_tcga_pan_can_atlas_2018	TCGA-AC-A23G-01	-1.6571	-2.2962	2.449	0.1722	0.0958	0.9596	2.4413
brca_tcga_pan_can_atlas_2018	TCGA-AC-A23E-01	-1.2825	1.09	2.3699	1.5969	1.3222	0.199	1.6142
brca_tcga_pan_can_atlas_2018	TCGA-AC-A23C-01	1.3671	-0.8843	3.3152	1.41	2.6896	-3.0174	2.313
brca_tcga_pan_can_atlas_2018	TCGA-A8-A0AD-01	-0.1723	-1.9571	2.7536	2.4076	0.964	-1.1501	3.2016
brca_tcga_pan_can_atlas_2018	TCGA-A8-A0AB-01	0.3781	0.0687	3.2987	4.9507	1.6252	1.0999	2.8183
brca_tcga_pan_can_atlas_2018	TCGA-A8-A0A9-01	-0.3698	0.5134	3.7644	2.6239	1.3978	0.9905	4.4137
brca_tcga_pan_can_atlas_2018	TCGA-A8-A0A7-01	-0.7332	-1.4052	4.0436	0.2243	1.3952	-0.1646	5.0645
brca_tcga_pan_can_atlas_2018	TCGA-A8-A0A6-01	0.4271	0.5389	1.8447	0.6098	0.9119	-0.8098	2.4387
brca_tcga_pan_can_atlas_2018	TCGA-A8-A0A4-01	-1.0465	0.2573	3.505	3.3389	1.9543	-0.6081	4.0312
