STUDY_ID	SAMPLE_ID	TIA1	TIAL1	TPX2	AURKA	BRCA1	BRCA2	TP53
ov_tcga_pan_can_atlas_2018	TCGA-25-1313-01	NA	NA	NA	NA	NA	-0.514202912	-0.98696545
ov_tcga_pan_can_atlas_2018	TCGA-25-1312-01	NA	NA	NA	NA	NA	-0.2288191	-1.697751137
ov_tcga_pan_can_atlas_2018	TCGA-24-2298-01	NA	NA	NA	NA	NA	-0.484175961	-1.536270692
ov_tcga_pan_can_atlas_2018	TCGA-24-2297-01	NA	NA	NA	NA	NA	-0.268922832	-1.30342777
ov_tcga_pan_can_atlas_2018	TCGA-24-2295-01	NA	NA	NA	NA	NA	-0.750911986	-1.451189057
ov_tcga_pan_can_atlas_2018	TCGA-24-2293-01	NA	NA	NA	NA	NA	-0.680963259	-1.804500872
ov_tcga_pan_can_atlas_2018	TCGA-24-2290-01	NA	NA	NA	NA	NA	-0.581102575	-0.811653362
ov_tcga_pan_can_atlas_2018	TCGA-24-2289-01	NA	NA	NA	NA	NA	-0.548477193	-1.528787923
ov_tcga_pan_can_atlas_2018	TCGA-24-2288-01	NA	NA	NA	NA	NA	-0.657091596	-1.252304888
ov_tcga_pan_can_atlas_2018	TCGA-24-2281-01	NA	NA	NA	NA	NA	-0.566969334	-0.742492315
ov_tcga_pan_can_atlas_2018	TCGA-24-2280-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-2271-01	NA	NA	NA	NA	NA	-0.38626028	-1.532349056
ov_tcga_pan_can_atlas_2018	TCGA-24-2267-01	NA	NA	NA	NA	NA	-0.384145832	-1.398892616
ov_tcga_pan_can_atlas_2018	TCGA-24-2262-01	NA	NA	NA	NA	NA	-0.27118886	-1.028772705
ov_tcga_pan_can_atlas_2018	TCGA-24-2261-01	NA	NA	NA	NA	NA	-0.530123391	-1.039460985
ov_tcga_pan_can_atlas_2018	TCGA-24-2260-01	NA	NA	NA	NA	NA	-0.414733295	-0.624677157
ov_tcga_pan_can_atlas_2018	TCGA-24-2254-01	NA	NA	NA	NA	NA	-0.583143369	-0.614621417
ov_tcga_pan_can_atlas_2018	TCGA-24-2038-01	NA	NA	NA	NA	NA	-0.394488739	-1.284596818
ov_tcga_pan_can_atlas_2018	TCGA-24-2035-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-2033-01	NA	NA	NA	NA	NA	-1.375313419	-1.285229109
ov_tcga_pan_can_atlas_2018	TCGA-24-2030-01	NA	NA	NA	NA	NA	-0.633459449	-1.541674859
ov_tcga_pan_can_atlas_2018	TCGA-24-2029-01	NA	NA	NA	NA	NA	-0.490813321	-1.132646638
ov_tcga_pan_can_atlas_2018	TCGA-24-2027-01	NA	NA	NA	NA	NA	-0.483303849	-1.270850494
ov_tcga_pan_can_atlas_2018	TCGA-24-2026-01	NA	NA	NA	NA	NA	-0.612068543	-1.434186439
ov_tcga_pan_can_atlas_2018	TCGA-24-2024-01	NA	NA	NA	NA	NA	-0.610110635	-0.640103062
ov_tcga_pan_can_atlas_2018	TCGA-24-2023-01	NA	NA	NA	NA	NA	-0.486387016	-0.397662011
ov_tcga_pan_can_atlas_2018	TCGA-24-2020-01	NA	NA	NA	NA	NA	-0.745907881	-1.669971584
ov_tcga_pan_can_atlas_2018	TCGA-24-2019-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1930-01	NA	NA	NA	NA	NA	-0.427660521	-1.553301792
ov_tcga_pan_can_atlas_2018	TCGA-24-1928-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1927-01	NA	NA	NA	NA	NA	-0.379061408	-1.308269807
ov_tcga_pan_can_atlas_2018	TCGA-24-1924-01	NA	NA	NA	NA	NA	-0.313085254	-1.462895455
ov_tcga_pan_can_atlas_2018	TCGA-24-1923-01	NA	NA	NA	NA	NA	-0.374527655	-1.149939028
ov_tcga_pan_can_atlas_2018	TCGA-24-1920-01	NA	NA	NA	NA	NA	-0.35257457	-1.005822687
ov_tcga_pan_can_atlas_2018	TCGA-24-1852-01	NA	NA	NA	NA	NA	-0.457374809	-1.490581037
ov_tcga_pan_can_atlas_2018	TCGA-24-1850-01	NA	NA	NA	NA	NA	-0.325576872	-1.494476433
ov_tcga_pan_can_atlas_2018	TCGA-24-1849-01	NA	NA	NA	NA	NA	-0.917852819	-3.537390911
ov_tcga_pan_can_atlas_2018	TCGA-24-1847-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1846-01	NA	NA	NA	NA	NA	-0.644352629	-1.593775703
ov_tcga_pan_can_atlas_2018	TCGA-24-1845-01	NA	NA	NA	NA	NA	-0.391636107	-1.354483959
ov_tcga_pan_can_atlas_2018	TCGA-24-1844-01	NA	NA	NA	NA	NA	-0.499167979	-0.80860959
ov_tcga_pan_can_atlas_2018	TCGA-24-1843-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1842-01	NA	NA	NA	NA	NA	-0.507477583	-1.005038428
ov_tcga_pan_can_atlas_2018	TCGA-24-1616-01	NA	NA	NA	NA	NA	-0.580963297	-1.371704149
