STUDY_ID	SAMPLE_ID	TIA1	TIAL1	TPX2	AURKA	BRCA1	BRCA2	TP53
ov_tcga_pan_can_atlas_2018	TCGA-29-2429-01	0.355	-0.128	1.01	1.14	-0.655	-0.036	0.388
ov_tcga_pan_can_atlas_2018	TCGA-29-2428-01	-0.009	0.511	0.521	0.523	-0.453	0.973	-0.545
ov_tcga_pan_can_atlas_2018	TCGA-29-2427-01	-0.008	-0.67	0.074	0.041	-0.633	-0.668	-0.609
ov_tcga_pan_can_atlas_2018	TCGA-29-2425-01	-0.215	0.34	0.777	0.975	-0.61	-0.173	-0.659
ov_tcga_pan_can_atlas_2018	TCGA-29-1785-01	-0.013	0.021	1.13	0.064	-0.815	-0.017	-0.887
ov_tcga_pan_can_atlas_2018	TCGA-29-1784-01	-0.277	-0.125	0.201	1.41	-0.522	-0.439	-0.559
ov_tcga_pan_can_atlas_2018	TCGA-29-1783-01	0.03	0.304	1.1	0.75	-0.515	0.692	-0.515
ov_tcga_pan_can_atlas_2018	TCGA-29-1781-01	0.727	0.029	0.845	-0.063	-0.742	0.01	-0.788
ov_tcga_pan_can_atlas_2018	TCGA-29-1778-01	0.633	-0.004	0.533	0.372	-0.502	0.523	-0.067
ov_tcga_pan_can_atlas_2018	TCGA-29-1777-01	0.006	0.848	0.145	0.035	-0.639	0	-0.678
ov_tcga_pan_can_atlas_2018	TCGA-29-1776-01	-0.026	-0.023	-0.026	0.881	-0.865	-0.863	-0.859
ov_tcga_pan_can_atlas_2018	TCGA-29-1775-01	0.348	-0.462	1.04	-0.072	-0.605	-0.672	-0.635
ov_tcga_pan_can_atlas_2018	TCGA-29-1774-01	0.738	0.04	1.73	1.75	-0.03	-0.09	0.013
ov_tcga_pan_can_atlas_2018	TCGA-29-1771-01	0	0.084	-0.023	-0.023	-0.78	-0.909	-0.494
ov_tcga_pan_can_atlas_2018	TCGA-29-1770-01	-0.311	-0.496	0.484	1.32	-0.374	0.706	-0.374
ov_tcga_pan_can_atlas_2018	TCGA-29-1769-01	0.114	-0.31	0.119	0.119	-0.686	0.064	-0.735
ov_tcga_pan_can_atlas_2018	TCGA-29-1768-01	0.004	-0.093	0.008	0.01	0.01	0.008	-0.594
ov_tcga_pan_can_atlas_2018	TCGA-29-1766-01	0.07	-0.283	0.812	0.889	-0.038	-0.386	-0.038
ov_tcga_pan_can_atlas_2018	TCGA-29-1764-01	0.277	-0.328	-0.175	-0.175	-0.449	-0.597	-0.526
ov_tcga_pan_can_atlas_2018	TCGA-29-1763-01	-0.427	-0.44	0.814	0.776	-0.359	-0.447	0.249
ov_tcga_pan_can_atlas_2018	TCGA-29-1762-01	0.047	0.751	0.025	-0.022	-0.838	-0.865	-0.841
ov_tcga_pan_can_atlas_2018	TCGA-29-1761-01	-0.035	-0.058	1.16	0.704	-0.365	-0.008	-0.482
ov_tcga_pan_can_atlas_2018	TCGA-29-1711-01	-0.041	-0.863	-0.91	3.18	-0.866	-0.902	-0.897
ov_tcga_pan_can_atlas_2018	TCGA-29-1710-01	0	0.117	0.363	0.363	-0.01	0.203	0.002
ov_tcga_pan_can_atlas_2018	TCGA-29-1707-01	0.032	-0.874	0.105	1.73	-0.854	-0.887	-0.869
ov_tcga_pan_can_atlas_2018	TCGA-29-1705-01	0.024	0.03	0.63	0.725	-0.15	0.033	-0.843
ov_tcga_pan_can_atlas_2018	TCGA-29-1704-01	-0.001	-0.065	3.25	-0.844	0.031	-0.025	-0.799
ov_tcga_pan_can_atlas_2018	TCGA-29-1703-01	0.02	-0.57	1.18	0.557	-0.568	-0.592	-0.554
ov_tcga_pan_can_atlas_2018	TCGA-29-1702-01	0.993	-0.444	0.338	0.338	-0.035	0.325	2.97
ov_tcga_pan_can_atlas_2018	TCGA-29-1701-01	0.506	-0.158	0.862	0.862	0.118	-0.419	-0.208
