STUDY_ID	SAMPLE_ID	TIA1	TIAL1	TPX2	AURKA	BRCA1	BRCA2	TP53
ov_tcga_pan_can_atlas_2018	TCGA-24-2297-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-2295-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-2293-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-2290-01	0.1722	0.1589	0.3023	NA	NA	-0.3049	0.3174
ov_tcga_pan_can_atlas_2018	TCGA-24-2289-01	-0.0511	-0.1064	-0.6829	NA	NA	NA	-0.6364
ov_tcga_pan_can_atlas_2018	TCGA-24-2288-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-2281-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-2280-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-2271-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-2267-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-2262-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-2261-01	-0.994	0.3092	0.769	NA	NA	-0.1306	0.0324
ov_tcga_pan_can_atlas_2018	TCGA-24-2260-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-2254-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-2038-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-2035-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-2033-01	-0.0921	-0.0251	0.1034	NA	NA	0.5213	-0.0338
ov_tcga_pan_can_atlas_2018	TCGA-24-2030-01	0.3942	0.0495	0.3793	NA	NA	0.3216	-0.6778
ov_tcga_pan_can_atlas_2018	TCGA-24-2029-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-2027-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-2026-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-2024-01	-0.0635	0.2918	-1.1322	NA	NA	NA	0.8252
ov_tcga_pan_can_atlas_2018	TCGA-24-2023-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-2020-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-2019-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1930-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1928-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1927-01	-0.3125	0.3643	0.0168	NA	NA	NA	-0.8389
ov_tcga_pan_can_atlas_2018	TCGA-24-1924-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1923-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1920-01	0.4888	-0.0067	0.3434	NA	NA	0.0772	0.3681
ov_tcga_pan_can_atlas_2018	TCGA-24-1852-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1850-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1849-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1847-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1846-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1845-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1844-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1843-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1842-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1616-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1614-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1604-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1603-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1567-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1565-01	-0.5142	0.0233	-1.1297	NA	NA	NA	-0.9342
ov_tcga_pan_can_atlas_2018	TCGA-24-1564-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1563-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1562-01	-0.0811	0.296	-0.3618	NA	NA	0.4006	-0.98
ov_tcga_pan_can_atlas_2018	TCGA-24-1560-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1558-01	-0.2296	0.4176	0.2781	NA	NA	NA	1.1119
ov_tcga_pan_can_atlas_2018	TCGA-24-1557-01	-0.005	0.0133	-0.0268	NA	NA	0.1745	-0.0805
ov_tcga_pan_can_atlas_2018	TCGA-24-1556-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1555-01	-0.0796	0.2326	-0.5296	NA	NA	-0.2946	-0.2672
ov_tcga_pan_can_atlas_2018	TCGA-24-1553-01	-0.384	0.0625	-0.5872	NA	NA	0.0206	-0.1081
ov_tcga_pan_can_atlas_2018	TCGA-24-1552-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1551-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1550-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1549-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1548-01	0.2911	0.0685	0.5607	NA	NA	NA	-0.1928
ov_tcga_pan_can_atlas_2018	TCGA-24-1546-01	NA	NA	NA	NA	NA	NA	NA
ov_tcga_pan_can_atlas_2018	TCGA-24-1545-01	NA	NA	NA	NA	NA	NA	NA
